SMILES,alpha,beta,delta,gamma
COCC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1,1,0,1,1
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1csc(C2(C(F)(F)F)CC2)n1,1,0,1,0
CCN(C)c1ccc(-c2ccc3nc(N)sc3c2)cn1,0,0,0,0
C[C@H](Nc1ncnc(N)c1C#Cc1ncccc1CO)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
C[C@H](Nc1ncnc(N)c1C#Cc1cccnc1)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
O=c1cc(N2CCOCC2)nc(Cc2nc3ccccc3n2C2CCCCC2)[nH]1,0,1,1,0
Cc1ccc(-n2c(=O)n(C)c3cnc4ccc(-c5ccncc5)cc4c32)cc1,1,0,0,1
C=CC(=O)Nc1ccc(-n2c(=O)ccc3oc4ccc(-c5cccnc5)cc4c32)cc1,1,1,1,1
CC(Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(Cl)c1-c1ccccn1,0,1,1,1
CC(C)n1nc(-c2ccc3nc(NN)ccc3c2)c2c(N)ncnc21,1,0,1,1
N#Cc1c(N)ncnc1N1CCC[C@H]1c1nc2cccc(C#CCCCC(=O)N3CCOCC3)c2c(=O)n1-c1ccccc1,0,0,1,1
Cc1ccc(F)c2c(=O)n(-c3ccccc3)c([C@H](C)Nc3ncnc(N)c3C#Cc3ccc(F)cn3)nc12,1,1,1,1
O=c1cc(N2CCOCC2)nc(Cc2nc3c(F)cccc3o2)[nH]1,0,1,0,0
CC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1,0,0,1,0
Cc1c(Nc2c(CO)nc3c(N)cc(N4CCOC(CO)C4)nn23)cccc1C(F)(F)F,0,1,0,0
CC(C)(c1cc(-c2sc(NC(=O)N3CCC[C@H]3C(N)=O)nc2Cl)ccn1)C(F)(F)F,1,0,0,0
Nc1ncnc2c1c(-c1cc(O)cc(F)c1)nn2Cc1nc2cccc(C#CCOCCOCCO)c2c(=O)n1Cc1ccccc1C(F)(F)F,0,0,1,1
CC(=O)N1CCN(c2cccc(-c3cc(-c4ccnn4C4CCOCC4)c4c(N)ncnn34)c2)C(=O)C1(C)C,1,0,1,1
NC(=O)[C@H](CO)NC(=O)C1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1,1,1,1,1
COCC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1,0,0,1,0
C[C@H](Nc1ncnc(N)c1C#Cc1ccccn1)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
C=CC(=O)Nc1cccc(-n2c(=O)ccc3oc4ccc(-c5cccnc5)cc4c32)c1,1,0,1,0
Cn1ncc2cc(-c3cc(OC4CN(C(=O)C5CC5)C4)cc4c3CNC4=O)cnc21,0,0,1,0
CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,1,1,1,1
CC(C)n1nc(-c2ccc3nccc(NC(=O)OC(C)(C)C)c3c2)c2c(N)ncnc21,0,0,0,0
Cc1cccc(S(=O)(=O)Nc2cc(-c3sc(NC(=O)[C@@H](N)C(C)C)nc3C)cnc2Cl)c1,1,1,1,1
C[C@H](Nc1ncnc(N)c1C#Cc1ccc(C(=O)O)cn1)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
O=S(=O)(Nc1cc(-c2ccc3nncc(-c4cnc(N5CCOCC5)nc4)c3c2)cnc1Cl)c1ccccc1,1,1,1,1
O=C1NCc2c1cc(O[C@@H]1CCN(C(=O)C3CC3)C1)cc2-c1cnc(F)c(O)c1,1,1,1,0
O=c1cc(N2CCSCC2)nc2n(Cc3cccc(Cl)c3Cl)ccn12,0,0,1,0
CC(C)n1ncnc1-c1nc2c(s1)CCOc1cc(C3CCCN3)ccc1-2,1,1,1,1
Nc1nn2c(O)cc(C3CCOCC3)nc2c1Cc1cccc(Cl)c1Cl,0,0,1,0
CC(C)n1nc(-c2ccc3nccc(N)c3c2)c2c(N)ncnc21,0,0,0,0
CCN(CC)C(=O)c1cc(C(C)Nc2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1,0,1,1,0
O=c1cc(N2CCOCC2)oc2c(-c3ccco3)csc12,1,1,0,0
COc1ncc(-c2sc(NC(=O)CN)nc2C)cc1NS(=O)(=O)c1ccccc1,1,1,1,1
CNC(=O)c1cc([C@@H](C)Nc2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1,1,1,1,1
C=CCn1nc(-c2ccc(OCC)c(OC)c2)c2c(N)ncnc21,0,0,1,1
CNc1nc(C)nc(-n2c(Nc3cc[nH]n3)nc3ccccc32)n1,0,0,1,0
