SMILES,alpha,beta,delta,gamma
C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,0,0,0,0
COc1ccc(Nc2ncncc2-c2nc(C)nc(N)n2)cn1,1,1,1,1
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1csc(N(C)C)n1,1,0,0,0
CC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1,0,0,1,0
C[C@@H]1CCN(C(=O)Nc2nc3c(s2)-c2nc(C(C)(C)C(F)(F)F)sc2CC3)[C@@H]1C(N)=O,1,1,1,1
CS(=O)(=O)NC1CCCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1,1,0,1,0
Cn1c(Cc2nc(N3CCOCC3)cc(=O)[nH]2)nc2ccccc21,0,1,0,0
O=S(=O)(Nc1cc(-c2ccc3nccc(-c4ccncc4)c3c2)cnc1Cl)c1ccc(F)cc1,1,1,1,1
C[C@H](Nc1ncnc(N)c1C#Cc1cnc(N)cc1C(F)(F)F)c1nc2cccc(Cl)c2c(=O)n1-c1cc(F)cc(F)c1,1,1,1,1
Cc1nc(NC(=O)[C@@H](N)[C@@H](C)O)sc1-c1cnc(Cl)c(NS(=O)(=O)c2ccccc2)c1,1,1,1,1
C[C@H](Nc1ncnc(N)c1C#Cc1ccc(C(F)(F)F)cn1)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
CC1(C)CC(=O)c2sc(N3CCOC[C@H]3Cc3c[nH]c4ccccc34)nc2C1,0,0,0,0
C[C@@H]1Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,1,1,1,0
C[C@H](NC(=O)c1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)nc(N4CCOC[C@@H]4C)n3)cc2)cc1)C(N)=O,1,1,1,1
CS(=O)(=O)Nc1cc(-c2ccc3cn[nH]c3c2)cnc1Cl,0,0,1,0
C[C@@H](Oc1cc(-n2cnc3ccc(CN4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F,0,0,0,0
Nc1nc2cc(-c3ccncc3)ccc2s1,0,0,0,0
Fc1cnc2[nH]cc(-c3ncc(F)c(N[C@H]4C5CCC(CC5)[C@@H]4c4nnn[nH]4)n3)c2c1,0,0,0,0
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2c(-c3ccccc3)cccc21,1,1,1,0
CC[C@H](Nc1nc(N)nc(N)c1C#N)c1nc2cccc(C#CCCCC(=O)N3CCOCC3)c2c(=O)n1-c1ccccc1,1,1,1,1
Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2[C@@H]1CCNC1,1,1,1,1
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1cccc(F)c1,0,1,0,0
C[C@H](Nc1ncnc(N)c1C#Cc1cc(C(F)(F)F)ccn1)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
O=S(=O)(c1ccc(O)cc1)N1CCN(c2nc(NCCN3CCOCC3)nc(N3CCOCC3)n2)CC1,1,1,1,1
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,1,1,1,1
CC(Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(C#N)c1-c1ccccn1,0,1,1,0
Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2CC1CCNCC1,0,0,1,0
CCC(=O)N1CC[C@H](Oc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1,0,0,1,0
Nc1ncnc2c1c(-c1cccc(O)c1F)nn2C1CCCC1,0,0,1,0
Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1,1,1,1,1
Nc1ncnc2[nH]nc(-c3ccccc3O)c12,0,0,0,0
COc1cc(F)cc(C#Cc2c(N)ncnc2N[C@@H](C)c2nc3c(F)cccc3c(=O)n2-c2ccccc2)c1,1,1,1,1
C[C@H]1CC[C@@H](c2nc3cccc(Cl)c3c(=O)n2-c2cccnc2)N1c1nc(N)nc(N)c1C#N,0,0,1,0
COc1ncc(-c2ccc3c(c2)N(CCCN2CCOCC2)C(=O)CO3)cc1NS(=O)(=O)c1ccc(F)cc1F,1,1,1,1
C[C@H](Nc1ncnc(N)c1C#Cc1cnccn1)c1nc2cccc(F)c2c(=O)n1-c1cc(F)cc(F)c1,1,1,1,1
Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,0,0,0,0
C[C@H](Nc1ncnc(N)c1C#Cc1ccc(N)cn1)c1nc2cccc(Cl)c2c(=O)n1-c1cc(F)cc(F)c1,1,1,1,1
CC(C)c1cc(C(C)C)c(S(=O)(=O)n2cc3c(=O)oc4ccccc4c3n2)c(C(C)C)c1,1,1,1,1
C[C@H](Nc1ncnc(N)c1C#Cc1ccc(F)cn1)c1nc2c(F)ccc(F)c2c(=O)n1-c1ccccc1,1,1,1,1
COc1ncc(-c2cc(OC3CN(C(=O)C4CC4)C3)cc3c2CNC3=O)cc1NS(C)(=O)=O,0,1,1,0
CC(C)n1nc(-c2ccc(S(N)(=O)=O)cc2)c2c(N)ncnc21,0,0,1,0
C[C@H](Nc1ncnc(N)c1C#Cc1cnccn1)c1nc2cccc(Cl)c2c(=O)n1-c1cccnc1,1,1,1,1
C[C@H](Nc1ncnc(N)c1C#Cc1cc(C(F)F)ccn1)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
Nc1nc2cc(-c3nn(CC4CCCC4)c4ncnc(N)c34)ccc2o1,1,1,1,1
COc1ccc(N2CCc3ncnc(-c4cccc(OC5CCN(C(C)=O)CC5)c4)c3C2)cn1,0,0,1,0
C[C@H](Nc1ncnc(N)c1C#Cc1ccccc1)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
Cc1nc(NC(=O)[C@@H](N)C(C)C)sc1-c1cnc(Cl)c(NS(=O)(=O)c2ccc(C(C)C)cc2)c1,1,1,1,1
Nc1ncnc2c1c(-c1ccc3ncccc3c1)nn2C1CCCC1,1,0,1,1
Nc1nc2cc(-c3cncc(S(=O)(=O)Nc4ccccc4)c3)ccn2n1,0,0,0,1
FC(F)(F)c1nnc2n1[C@H]1CCN(Cc3cc4nc(-c5cccc6[nH]ncc56)nc(N5CCOCC5)c4s3)C[C@@H]1CC2,1,1,1,1
COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1NC(=O)OC(C)(C)C,0,0,0,0
Cc1nnc2n1[C@H]1CCN(Cc3cc4nc(-c5cccc(O)c5)nc(N5CCOCC5)c4s3)C[C@@H]1CC2,1,1,1,1
O=C1NC(=S)S/C1=C/c1ccc2c(c1)N(Cc1ccc(F)c(Cl)c1)C(=O)CO2,1,0,1,1
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCC(=O)N4CCCC4)nn3c2)c1,1,0,1,1
CN(C)C(=O)c1cc(CNc2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1,0,1,1,0
Cc1nc(N)nc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1,1,1,1,1
O=c1cc(N2CCOCC2)oc2c(-c3ccncc3)csc12,1,0,0,0
CSc1nn2c(=O)cc(N3CCOCC3)nc2n1Cc1cccc(C(F)(F)F)c1C,1,1,1,0
CNS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,0,0,0,1
N#CCCCn1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,1,1,0,1
CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,0,0,0,0
Cc1ncnc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1,1,1,1,1
COc1ccc(-c2nn(C3CCC(C)C3)c3ncnc(N)c23)cc1O,1,1,1,1
COc1cc2c(c(-c3cnc(OC)c(NS(C)(=O)=O)c3)c1)CNC2=O,1,1,1,0
O=C(Nc1n[nH]c2cc(-c3ccc(O)cc3)ccc12)C1CC1,0,0,0,0
C=CC(=O)N1CCN(S(=O)(=O)c2cccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)c2)CC1,1,1,1,1
CC(C)n1nc(-c2cccc3[nH]ccc23)c2c(N)ncnc21,0,0,0,0
Cc1c(C)n2c(=O)cc(N3CCOCC3)nc2n1Cc1cccc(Cl)c1Cl,0,1,1,0
CC(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,0,0,0,1
O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12,0,1,1,1
NC(=O)c1sc(N2CCOCC2)nc1CC(=O)Nc1ccc(F)c(Cl)c1,0,1,1,0
O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1,0,0,0,0
O=C1NCc2c1cc(NCCCc1ccccc1)cc2-c1cc(O)cc(F)c1,1,1,1,0
NC(=O)[C@@H]1CC(O)CN1C(=O)c1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)nc(N4CCOCC4)n3)cc2)cc1,1,1,1,1
COc1ncc(N2CCOCC2)cc1S(=O)(=O)N(COC(=O)C(C)(C)C)c1ccnc(-c2ccc(CN3CCN(C(C)C)CC3)cc2F)c1,0,0,0,0
C[C@@H]1COCCN1c1nc(-c2cnc(N)cc2C(F)F)nc(N2[C@H](C)COC[C@@H]2C)n1,1,0,0,0
C[C@H](Nc1ncnc(N)c1C#CC1CC1)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
CC(=O)NC1CCCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1,0,0,1,0
CCOc1cc(-c2nn(CCO)c3ncnc(N)c23)ccc1OC,0,0,0,0
C[C@@H]1COCCN1c1nc(-c2cnc(N)nc2)nc2c1C[C@@H]1COCCN21,1,0,0,0
Cc1nc(N)nc(-n2c(Nc3cc[nH]n3)nc3ccccc32)n1,1,1,1,1
C[C@@H](C1CC1)N1Cc2cc(-c3ccn4nc(N)c(C(=O)N[C@H]5CC[C@](O)(C(F)(F)F)CC5)c4n3)cc(NS(C)(=O)=O)c2C1=O,0,0,0,1
Cc1c(CN2CCN(C(=O)[C@@H](C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,1,1,1,1
C[C@H](Nc1ncnc2[nH]cnc12)c1cc2ccc(F)cc2nc1-c1ccccn1,0,0,1,1
CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,0,0,0,0
Cc1c(Cn2ccn3c(=O)cc(C4CCOCC4)nc23)cccc1C(F)(F)F,0,1,0,0
COc1ncc(-c2cccc3c2CNC3=O)cc1NS(C)(=O)=O,0,0,1,0
CC(=O)Nc1cc(N2CCOCC2)nc2c(Cc3cccc(C(F)(F)F)c3C)c(C)nn12,0,0,1,0
Nc1nc2ccc(-c3ccc(C(F)(F)F)nc3)cc2s1,0,0,1,1
CC1(C)Cc2nc(N3CCOc4ccc(-c5ccn[nH]5)cc43)sc2C(=O)N1,1,0,1,1
O=c1cc(N2CCOCC2)nc(Cc2nc3c(-c4ccccc4)cccc3[nH]2)[nH]1,0,1,1,0
Cc1nc(NC(=O)N2CC[C@@H]3C[C@@]32C(N)=O)sc1-c1csc(C(C)(C)C)n1,1,0,0,0
COc1cc2ncnc(Nc3ccc(CC#N)cc3)c2cc1OC,0,0,0,0
CC(=O)NC1CCCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1,1,0,1,0
Cc1c(Cc2c(CN(C)CCS(C)(=O)=O)nc3c(N)cc(N4CCOCC4)nn23)cccc1C(F)(F)F,0,1,1,0
Nc1nc2cc(-c3nc(N4CCOCC4)nc(N4CCOCC4)n3)ccc2o1,1,1,1,1
CC(Nc1ccc(F)c(Cl)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,0,1,1,0
O=C(Nc1cc(-c2cccc(O)c2)cc2[nH]ncc12)C1CC1,0,0,0,0
COc1ncc(-c2cc(-c3ncc(CN4C[C@@H](C)O[C@@H](C)C4)o3)c3cn[nH]c3c2)cc1NS(C)(=O)=O,1,0,1,1
Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC2(CCOCC2)c2ncc(N3CCOCC3)cc21,0,1,1,1
CNC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1,0,0,1,0
CNC(=O)c1c(-c2ccccn2)c([C@H](C)Nc2ncnc(N)c2C#N)nc2ccc(F)cc12,0,0,1,0
Cn1ccnc1-c1ccc2c(c1)N(c1nc3c(s1)C(=O)NC(C)(C)C3)CCO2,0,0,1,1
CC(Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(N(C)C)c1-c1ccccn1,0,1,1,1
O=c1cc(N2CCOCC2)oc2c(-c3ccc(C(F)(F)F)cc3)csc12,1,1,0,1
COc1ccc(-c2ccc3ncnc(O[C@@H]4CCN(C(C)=O)C4)c3c2)cc1OC,1,0,1,0
Cc1cccc2nc([C@H](C)Nc3ncnc(N)c3C#Cc3cnccn3)n(-c3cccc(F)c3)c(=O)c12,1,1,1,1
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2CC1CCNCC1,0,0,0,0
COc1cc(Oc2ccnc3cc(OC)c(OC)cc23)ccc1NC(=O)NC(C)c1nccs1,0,0,0,0
NC(=O)Cn1nc(-c2ccc3ccccc3c2)c2c(N)ncnc21,0,0,0,0
CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3ccc(Cl)cc3)c2)cnc1N,1,0,1,1
CN(C1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1)S(C)(=O)=O,1,1,1,1
CCN(CC)CCNC(=O)Nc1nc2ccc(-c3cnc(OC)c(NS(=O)(=O)c4ccc(F)cc4)c3)cn2n1,1,1,1,1
COc1ccc(-c2cc3c(C)nc(N)nc3n([C@H]3CC[C@H](OCCO)CC3)c2=O)cn1,1,1,1,1
Cc1ccc(-c2ccc3c(c2)N(c2nc4c(s2)C(=O)NC(C)(C)C4)CCO3)nn1,1,0,1,1
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCCCn4nnc(C5CC5)n4)nn3c2)c1,0,0,1,1
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,0,0,0,0
CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3nc(C#N)c[nH]3)c(C3=CCCCC3)c2)CC1.Cl,0,0,0,0
CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1,0,0,1,0
Cc1cc(C(C)Nc2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1,0,1,1,0
Cc1cc2ncnn2cc1Nc1ncc2c(n1)N(C1CCOCC1)CC(=O)N2C,1,1,1,1
Nc1ncnc2[nH]nc(-c3cccc(Oc4ccccc4)c3)c12,0,0,0,0
COc1ccc2c(c1)nc(C)n2-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,0,0,0,0
CC(=O)NC1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)CC1,1,0,1,1
CC1(C)Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,0,1,1,0
Nc1ncnn2c(-c3cccc(N4CCOCC4=O)c3)cc(C(F)(F)F)c12,0,0,1,1
CC(C)c1ccc(-c2ncccc2N2CCN(S(=O)(=O)c3cccc(-c4cnc(N)nc4)c3)CC2)cc1,1,0,1,1
COc1ccc(-c2ccc3ncnc(-c4cccc(C(=O)N5CCN(C)CC5)c4)c3c2)cn1,1,0,1,0
CC(C)n1nc(-c2cccc(CC#N)c2)c2c(N)ncnc21,0,0,1,0
Cc1ccccc1-n1c(Cn2nc(C#CCO)c3c(N)ncnc32)nc2cccc(C)c2c1=O,0,1,1,0
COc1ccc(Nc2ccccc2-c2nc(C)nc(N)n2)cn1,1,1,1,1
Cc1nc(NC(=O)N2C[C@H](N(C)C)C[C@H]2C(N)=O)sc1-c1csc(C2(C)CC2)n1,1,0,0,0
CNC(=O)c1nc(-c2cccc(NS(=O)(=O)c3ccccc3)c2)cnc1N,0,0,0,1
COc1ccc2nc(C)n(-c3nc(N4CCOCC4)nc(N4CCOCC4)n3)c2c1,1,0,1,0
NC(=O)CNC(=O)C1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1,1,1,1,1
CC[C@H](N)C(=O)Nc1nc(C)c(-c2cnc(Cl)c(NS(=O)(=O)c3ccccc3)c2)s1,1,1,1,1
Cc1nncn1C1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1,0,1,1,0
CN(C)c1ccc(-c2csc3c(=O)cc(N4CCOCC4)oc23)cc1,1,1,1,1
C[C@@H]1COCCN1c1nc(N2CCOC[C@@H]2C)nc2[nH]c(-c3cccc4[nH]ccc34)nc12,0,0,1,0
Cc1cc(-c2nn(C(C)C)c3ncnc(N)c23)sc1C=O,0,0,1,0
COc1ccc(Nc2cccnc2-c2nc(C)nc(N)n2)cn1,0,1,1,1
O=c1cc(N2CCOCC2)nc2n(Cc3cccc(C(F)(F)F)c3)ccn12,0,1,1,0
CC(=O)N1CCN(c2ccc(Nc3c(C(N)=O)cnc4ccc(-c5cnc6ccccc6c5)cc34)cc2C(F)(F)F)CC1,0,0,0,1
C#Cc1ccc(-c2cc3c(c(-c4cnc(OC)c(NS(C)(=O)=O)c4)c2)CNC3=O)cn1,1,1,1,1
O=c1cc(N2CCOCC2)nc(Cc2nc3cc(F)ccc3o2)[nH]1,0,1,1,0
Cc1ccccc1-c1n[nH]c2ncnc(N)c12,0,0,0,0
C[C@H](Nc1ncnc(N)c1C#Cc1ccc(F)cn1)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
O=c1cc(N2CCOCC2)oc2c(-c3ccsc3)csc12,1,1,0,0
CC(C)(NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1)C(F)(F)F,0,0,0,1
Nc1nc2ccc(-c3ccncc3)cc2s1,0,0,0,0
Cc1nc(NC(=O)CN)sc1-c1cnc(O)c(NS(=O)(=O)c2ccccc2)c1,0,0,1,1
COc1ncc(-c2ccc3nc(NC(=O)NC4CC4)nn3c2)cc1NS(=O)(=O)c1ccc(F)cc1,1,1,1,1
CN(CC1OCCO1)C(=O)c1cc(Nc2ccccc2)cc(-c2ccnc(NC(=O)C3CC3)c2)c1,0,0,0,0
CNCCNC(=O)c1c(-c2ccccn2)c([C@H](C)Nc2ncnc(N)c2C#N)nc2ccc(F)cc12,0,0,1,0
COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,0,0,0,0
O=c1oc2ccccc2c2nn(CN3CCN(S(=O)(=O)c4ccccc4[N+](=O)[O-])CC3)cc12,0,0,0,0
CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0,0,0,0
COc1ccc(-c2ncnc3ccc(-c4cnc5ccccc5c4)cc23)cc1OC,1,0,1,0
COc1cccc(NC(=O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)c1,0,1,1,0
Cn1c(Cc2nc(N3CCOCC3)cc(=O)[nH]2)nc2c(-c3ccccc3)cccc21,1,1,1,0
CN(C)CC(=O)N1CCC(n2cc(-c3cnc(N)c(-n4nnc5ccccc54)n3)cn2)CC1,1,0,1,1
C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,0,0,0,0
CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1,1,1,1,1
Cc1nc(NC(=O)[C@@H](N)C(C)C)sc1-c1cnc(Cl)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)c1,1,1,1,0
Nc1ncnc2c1c(-c1ccc3ccccc3c1)nn2Cc1ccccc1,0,0,0,0
Nc1ncnc2c1c(-c1ccc3cn[nH]c3c1)nn2C1CCCC1,1,0,1,1
CC(C)n1nc(-c2ccc3[nH]ccc3c2)c2c(N)ncnc21,1,0,1,1
COc1ncc(-c2ccc3cn[nH]c3c2)cc1NS(C)(=O)=O,0,0,1,0
Cc1nc(NC(=O)[C@@H](N)C(C)C)sc1-c1cnc(Cl)c(NS(=O)(=O)c2cccc(Cl)c2)c1,1,1,1,1
Cc1nc(NCC#N)nc(-n2c(Nc3cc[nH]n3)nc3ccccc32)n1,0,0,0,0
OCC(O)[C@H]1C2CCC(CC2)[C@@H]1Nc1nc(-c2c[nH]c3ncc(F)cc23)ncc1F,0,0,0,1
CN(C1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1)S(C)(=O)=O,1,0,1,1
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1csc(-c2ccccc2F)n1,1,0,0,0
Nc1ncnc2[nH]nc(-c3ccccc3)c12,0,0,0,0
N#Cc1c(N)ncnc1N1CC(F)(F)C[C@H]1c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,0,0,0,0
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)Nc4ccccc4)nn3c2)c1,0,0,0,1
Nc1cc(-c2cccnc2Nc2cccc3[nH]ncc23)nc(C(F)(F)F)n1,0,0,0,0
Cc1cccc2nc([C@H](C)Nc3ncnc(N)c3C#Cc3ncccn3)n(-c3cc(F)cc(F)c3)c(=O)c12,1,1,1,1
Cc1nc(N)nc(-n2c(Nc3cccc(C(N)=O)c3)nc3ccccc32)n1,1,0,1,1
CCn1nnc(CCNC(=O)Nc2nc(C)c(-c3ccc(S(C)(=O)=O)c(F)c3)s2)n1,0,0,0,1
CN(C)C(=O)c1ccc(-c2ccc3nc(N)sc3c2)cn1,0,0,0,0
CC(O)C#Cc1c(N)ncnc1N[C@H](C)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
[2H]C([2H])([2H])C([2H])(n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21)C([2H])([2H])[2H],1,0,1,1
Nc1ncnn2c(-c3cccc(N4CCOCC4=O)c3)cc(Cl)c12,1,0,1,1
CC[C@H](Nc1ncnc(N)c1C#Cc1cnccn1)c1nc2cccc(F)c2c(=O)n1-c1cc(F)cc(F)c1,1,1,1,1
COc1ccc(-c2c(C)nn3c(NCCNS(C)(=O)=O)cc(C)nc23)cc1OC,0,0,0,0
Cc1ccc2c(c1)-c1nc3cc(C(F)(F)F)ccc3n1CCO2,1,0,0,0
Nc1nc2ccc(-c3ccn(CC4CC4)c(=O)c3)cc2s1,0,0,0,0
COc1cc(N2CCc3nc(NC(=O)NCCc4cn(CC(F)F)cn4)sc3C2)cnc1Cl,0,0,0,1
CC(C)(CO)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21,0,0,1,0
COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1ccnc(-c2ccc(CN3CCCC3)cc2F)c1,0,0,0,0
COc1ccc(-c2c(C)nc3c(NCCNC(C)=O)cc(Cl)nn23)cc1OC,0,0,0,0
COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(=O)NO)cn4)cc3n2)cn1,1,1,1,1
COCCN(CCO)c1nc(N2CCOCC2)nc(-n2c(C(F)F)nc3ccccc32)n1,1,1,1,1
COc1ncc2cc1NS(=O)(=O)CCN(C)Cc1ccc3c(c1)N2CCO3,0,0,1,0
Cc1ccc2nc(Cc3nc(N4CCOCC4)cc(=O)[nH]3)oc2c1,0,1,0,0
COc1ccc2[nH]c(Cc3nc(N4CCOCC4)cc(=O)[nH]3)nc2c1,0,1,1,0
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2[C@@H]1CCNC1,0,0,1,0
O=C1NCc2c1cc(NCCCc1ccccc1)cc2-c1cccc(O)c1,0,1,1,0
Cc1nn2c(O)cc(C3CCOCC3)nc2c1Cc1cccc(C(F)(F)F)c1C,0,0,1,0
COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1ccnc(-c2ccc(CN3CCN(C(C)C)CC3)c(F)c2)c1,0,0,0,0
CC(C)n1nc(-c2ccc3nc(Cl)ccc3c2)c2c(N)ncnc21,1,0,1,1
Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,1,0,1,0
Cc1c(Cn2c(C)nc(=O)c3sc(N4CCOCC4)nc32)cccc1C(F)(F)F,0,1,1,1
COc1ccc(-c2cc(OCCN(C)c3ncc(C(=O)NO)cn3)c3ncnc(C)c3c2)cn1,1,1,1,1
CC(C)(C)c1ccc(-c2n[nH]c3ncnc(N)c23)cc1,0,0,0,0
O=c1oc2ccccc2c2nn(S(=O)(=O)c3ccc(Br)cc3)cc12,0,0,0,0
OCCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,0,0,0,0
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,0,0,0,0
CC(=O)N1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1,1,1,1,1
Nc1ncnc2c1c(-c1ccc3ccccc3c1)nn2C1CCCC1,0,0,0,0
CC1(C)CC(=O)c2sc(N3CCOc4ccc(-c5ccccc5)cc43)nc2C1,0,0,1,1
Cc1c(Cc2cnn3c(O)cc(N4CCOCC4)nc23)cccc1C(F)(F)F,1,0,1,1
Cc1nc(NC(=O)CN)sc1-c1cnc(Cl)c(NS(=O)(=O)c2ccccc2)c1,1,1,1,1
COc1ccc(Nc2ncc(CN3CCCN(S(C)(=O)=O)CC3)cc2-c2nc(C)nc(N)n2)cn1,1,1,1,1
Cn1nccc1-c1ccc2nc(N)sc2c1,0,0,0,0
CS(=O)(=O)c1ccc(-c2csc3c(=O)cc(N4CCOCC4)oc23)cc1,0,0,0,0
O=C(O)[C@@H]1CCCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)C1,1,1,1,1
CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,1,0,1,1
Cc1nc(NC(=O)[C@@H](N)C(C)C)sc1-c1cnc(Cl)c(NS(=O)(=O)c2cc(Cl)ccc2Cl)c1,1,1,1,1
CNC(=O)c1nc(-c2cccc(C(F)(F)F)c2)cnc1N,0,0,0,0
COC(=O)c1cc(NC(=O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)ccc1F,0,1,0,0
O=S(=O)(Nc1cc(-c2cnc3[nH]cnc3c2)cnc1Cl)c1ccccc1,1,1,1,1
Cc1nc(NC(=O)N2CC[C@@H](O)[C@H]2C(N)=O)sc1-c1csc(C2(C(F)(F)F)CC2)n1,1,0,0,0
O=C1NCc2c1cc(NCCCN1CCOCC1)cc2-c1cccc(O)c1,0,0,1,0
